HolderAddress,Balance,PendingBalanceUpdate,Date,Change
0x2452e136265e4b2ce559534e9eb18e9907f45973,0.0,,2026-01-14 21:28,
0x44df085447dbebcf69c6675c3b8a795c7fdeb3f4,580000000.0,,2026-01-14 21:28,
0x0d0707963952f2fba59dd06f2b425ace40b492fe,578158163.0299869,,2026-01-14 21:28,
0x5f8da8f88ec81e27f2e22fcb9ca5d926c595e508,573680101.8220965,,2026-01-14 21:28,
0xf6268a4490995eec09de097a7279e592992ab03d,0.0,,2026-01-14 21:28,
0x2890a1fa74b806417d45edf158c569b8939012bb,0.0,,2026-01-14 21:28,
0x02f67b2e6afbac5d1590c39097d03829bc0beda9,0.0,,2026-01-14 21:28,
0xbe94d6b687c7de47c48fd433b6563b0ee3c0ea72,0.0,,2026-01-14 21:28,
0xac619976d2a369eabd0e61021dec86fc8291df31,468434299.0633322,,2026-01-14 21:28,
0x56b9f3eab2a563a277cf14604ac0a8c330715cb0,0.0,,2026-01-14 21:28,
0xef67e9fe32f46a672af824e39c7a5126004d0cf0,418010580.8579467,,2026-01-14 21:28,
0x2e7444ade51b2dbc723c6298679bac3ef8389c31,0.0,,2026-01-14 21:28,
0x40ebc1ac8d4fedd2e144b75fe9c0420be82750c6,398351226.4509155,,2026-01-14 21:28,
0xbada235e37f8ceba768cb167518c869a3765992c,376939734.6553152,,2026-01-14 21:28,
0xcdd442e2de893c07146b2f1072f8e077559f9aa4,0.0,,2026-01-14 21:28,
0xc0ed8b18b962be620d67ed824d12a24b0bfae22a,350000000.0020507,,2026-01-14 21:28,
0x4444a136b1445b1f5e4a20656854adcf6fa3d667,345049277.9200931,,2026-01-14 21:28,
0x961f6af1729f276c9a053016a2da2706a19b7c42,336548000.8131616,,2026-01-14 21:28,
0x69dbc5b5803efe31f6cbafe73ed780ff81c59470,324757178.56858766,,2026-01-14 21:28,
0xb11f0625dcfb71d8095f019aecf1815ca5746776,0.0,,2026-01-14 21:28,
0xbd46e4944f631c31ac22f8ff757a5579b371d3ce,318951248.34800696,,2026-01-14 21:28,
0x000bd7932374abd3806ab036424ed0f4d756123f,303967007.20292217,,2026-01-14 21:28,
0x2e93b992ab8a11e954464e6b0b2e28098241f1ef,0.0,,2026-01-14 21:28,
0x77f80700f974ca52cf52bdc87efcb3b0e0c4f78b,269369369.0,,2026-01-14 21:28,
0x449e507e83789a388180bc6b3cf961b10aec00e8,0.0,,2026-01-14 21:28,
0xd13da05b9288ba4961973110594bd0fe3428791f,241329392.21521392,,2026-01-14 21:28,
